hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
InterContinental Boston,http://www.tripadvisor.com/Hotel_Review-g60745-d620703-Reviews-InterContinental_Boston-Boston_Massachusetts.html,boston,4839 ,4.5,2018/08/01,2018/08/02,$405,Expedia.com,12,"Pool,Restaurant,Hotel website"
Seaport Boston Hotel,http://www.tripadvisor.com/Hotel_Review-g60745-d94330-Reviews-Seaport_Boston_Hotel-Boston_Massachusetts.html,boston,5183 ,4.5,2018/08/01,2018/08/02,$268,Agoda.com,10,"Free Wifi,Pool,Hotel website"
"Marriott Vacation Club Pulse at Custom House, Boston",http://www.tripadvisor.com/Hotel_Review-g60745-d94344-Reviews-Marriott_Vacation_Club_Pulse_at_Custom_House_Boston-Boston_Massachusetts.html,boston,883 ,4.5,2018/08/01,2018/08/02,,TripAdvisor,8,"Free Wifi,Fitness center,Hotel website"
Boston Harbor Hotel,http://www.tripadvisor.com/Hotel_Review-g60745-d89575-Reviews-Boston_Harbor_Hotel-Boston_Massachusetts.html,boston,2032 ,4.5,2018/08/01,2018/08/02,$508,Expedia.com,13,"Free Wifi,Pool"
Four Seasons Hotel Boston,http://www.tripadvisor.com/Hotel_Review-g60745-d89585-Reviews-Four_Seasons_Hotel_Boston-Boston_Massachusetts.html,boston,1951 ,4.5,2018/08/01,2018/08/02,$645,Expedia.com,12,"Pool,Restaurant,Hotel website"
Lenox Hotel,http://www.tripadvisor.com/Hotel_Review-g60745-d114134-Reviews-Lenox_Hotel-Boston_Massachusetts.html,boston,3543 ,4.5,2018/08/01,2018/08/02,$276,Agoda.com,12,"Free Wifi,Restaurant"
The Verb Hotel,http://www.tripadvisor.com/Hotel_Review-g60745-d6485213-Reviews-The_Verb_Hotel-Boston_Massachusetts.html,boston,2812 ,4.5,2018/08/01,2018/08/02,$339,Expedia.com,11,"Free Wifi,Pool,Hotel website"
"Mandarin Oriental, Boston",http://www.tripadvisor.com/Hotel_Review-g60745-d1136705-Reviews-Mandarin_Oriental_Boston-Boston_Massachusetts.html,boston,770 ,4.5,2018/08/01,2018/08/02,$675,Mandarin Oriental,11,"Restaurant,Room Service,Hotel website"
The Godfrey Hotel Boston,http://www.tripadvisor.com/Hotel_Review-g60745-d8316858-Reviews-The_Godfrey_Hotel_Boston-Boston_Massachusetts.html,boston,4007 ,4.5,2018/08/01,2018/08/02,$341,Cancelon,17,"Free Wifi,Room Service,Hotel website"
Courtyard Boston Copley Square,http://www.tripadvisor.com/Hotel_Review-g60745-d313573-Reviews-Courtyard_Boston_Copley_Square-Boston_Massachusetts.html,boston,1902 ,4.5,2018/08/01,2018/08/02,$269,Courtyard,11,"Free Wifi,Restaurant,Hotel website"
