hotel_name,url,locality,reviews,tripadvisor_rating,rank,rank_num,5_excellent,4_excellent,3_very_good,2_poor,1_terrible,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
Hotel Libertador Arequipa,http://www.tripadvisor.com/Hotel_Review-g294313-d304525-Reviews-Hotel_Libertador_Arequipa-Arequipa_Arequipa_Region.html,arequipa,922 ,4.5,#9 of 110 Hotels in Arequipa,9,212,96,17,5,5,2018/09/01,2018/09/02,,TripAdvisor,11,"Free Wifi,Free Parking"
Katari Hotel at Plaza de Armas,http://www.tripadvisor.com/Hotel_Review-g294313-d7379149-Reviews-Katari_Hotel_at_Plaza_de_Armas-Arequipa_Arequipa_Region.html,arequipa,402 ,4.5,#11 of 110 Hotels in Arequipa,11,141,41,15,3,2,2018/09/01,2018/09/02,,TripAdvisor,9,"Free Wifi,Breakfast included,Hotel website"
Los Tambos,http://www.tripadvisor.com/Hotel_Review-g294313-d1507509-Reviews-Los_Tambos-Arequipa_Arequipa_Region.html,arequipa,1182 ,5,#2 of 110 Hotels in Arequipa,2,659,116,20,3,1,2018/09/01,2018/09/02,,TripAdvisor,9,"Free Wifi,Breakfast included,Hotel website"
Casa Andina Premium Arequipa,http://www.tripadvisor.com/Hotel_Review-g294313-d952945-Reviews-Casa_Andina_Premium_Arequipa-Arequipa_Arequipa_Region.html,arequipa,1299 ,4.5,#12 of 110 Hotels in Arequipa,12,408,179,53,14,9,2018/09/01,2018/09/02,,TripAdvisor,11,"Free Wifi,Breakfast included"
Hostal La Casa de Margott,http://www.tripadvisor.com/Hotel_Review-g294313-d1150348-Reviews-Hostal_La_Casa_de_Margott-Arequipa_Arequipa_Region.html,arequipa,69 ,4.5,#20 of 213 Specialty Lodging in Arequipa,20,18,8,2,1,0,2018/09/01,2018/09/02,,TripAdvisor,11,Free Wifi
Casa Andina Select Arequipa,http://www.tripadvisor.com/Hotel_Review-g294313-d8873414-Reviews-Casa_Andina_Select_Arequipa-Arequipa_Arequipa_Region.html,arequipa,389 ,4.5,#14 of 110 Hotels in Arequipa,14,39,40,6,1,3,2018/09/01,2018/09/02,,TripAdvisor,11,"Breakfast included,Pool"
Hotel San Agustin Posada del Monasterio,http://www.tripadvisor.com/Hotel_Review-g294313-d2283257-Reviews-Hotel_San_Agustin_Posada_del_Monasterio-Arequipa_Arequipa_Region.html,arequipa,354 ,3.5,#26 of 110 Hotels in Arequipa,26,15,41,25,13,6,2018/09/01,2018/09/02,,TripAdvisor,11,"Free Wifi,Breakfast included"
La Gruta Hotel,http://www.tripadvisor.com/Hotel_Review-g294313-d568607-Reviews-La_Gruta_Hotel-Arequipa_Arequipa_Region.html,arequipa,108 ,4.5,#25 of 110 Hotels in Arequipa,25,25,22,1,1,1,2018/09/01,2018/09/02,,TripAdvisor,10,"Free Wifi,Free Parking"
Viza Hotel,http://www.tripadvisor.com/Hotel_Review-g294313-d1211188-Reviews-Viza_Hotel-Arequipa_Arequipa_Region.html,arequipa,13 ,5,#47 of 110 Hotels in Arequipa,47,4,1,0,0,0,2018/09/01,2018/09/02,,TripAdvisor,8,"Free Wifi,Free Parking"
Beausejour Boutique-Hotel,http://www.tripadvisor.com/Hotel_Review-g294313-d3683951-Reviews-Beausejour_Boutique_Hotel-Arequipa_Arequipa_Region.html,arequipa,174 ,5,#1 of 189 B&Bs / Inns in Arequipa,1,35,3,1,2,0,2018/09/01,2018/09/02,,TripAdvisor,9,"Free Wifi,Breakfast included"
Mint Hotel,http://www.tripadvisor.com/Hotel_Review-g294313-d7708894-Reviews-Mint_Hotel-Arequipa_Arequipa_Region.html,arequipa,126 ,4.5,#17 of 110 Hotels in Arequipa,17,15,9,3,1,0,2018/09/01,2018/09/02,,TripAdvisor,9,"Free Wifi,Breakfast included"
qp Hotels Arequipa,http://www.tripadvisor.com/Hotel_Review-g294313-d3169887-Reviews-Qp_Hotels_Arequipa-Arequipa_Arequipa_Region.html,arequipa,146 ,4,#35 of 110 Hotels in Arequipa,35,22,8,4,5,3,2018/09/01,2018/09/02,,TripAdvisor,12,"Free Wifi,Breakfast included"
