hotel_name,url,locality,reviews,tripadvisor_rating,rank,rank_num,5_excellent,4_excellent,3_very_good,2_poor,1_terrible,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
JW Marriott El Convento Cusco,http://www.tripadvisor.com/Hotel_Review-g294314-d2418099-Reviews-JW_Marriott_El_Convento_Cusco-Cusco_Cusco_Region.html,cusco,3108 ,5,#9 of 174 Hotels in Cusco,9,1729,207,51,34,18,2018/09/01,2018/09/02,$215,Expedia.com,12,"Breakfast included,Pool,Hotel website"
Casa Cartagena Boutique Hotel & Spa,http://www.tripadvisor.com/Hotel_Review-g294314-d1212009-Reviews-Casa_Cartagena_Boutique_Hotel_Spa-Cusco_Cusco_Region.html,cusco,702 ,5,#4 of 174 Hotels in Cusco,4,408,42,8,4,3,2018/09/01,2018/09/02,$266,Expedia.com,11,"Free Wifi,Breakfast included"
"Palacio del Inka, A Luxury Collection Hotel, Cusco",http://www.tripadvisor.com/Hotel_Review-g294314-d304538-Reviews-Palacio_del_Inka_A_Luxury_Collection_Hotel_Cusco-Cusco_Cusco_Region.html,cusco,2526 ,5,#10 of 174 Hotels in Cusco,10,1355,231,62,22,5,2018/09/01,2018/09/02,$251,getaroom.com,14,"Restaurant,Room Service,Hotel website"
Antigua Casona San Blas,http://www.tripadvisor.com/Hotel_Review-g294314-d10266025-Reviews-Antigua_Casona_San_Blas-Cusco_Cusco_Region.html,cusco,553 ,5,#7 of 174 Hotels in Cusco,7,350,37,8,2,5,2018/09/01,2018/09/02,$170,Booking.com,7,"Free Wifi,Breakfast included,Hotel website"
Hotel Arqueologo Exclusive Selection,http://www.tripadvisor.com/Hotel_Review-g294314-d318575-Reviews-Hotel_Arqueologo_Exclusive_Selection-Cusco_Cusco_Region.html,cusco,575 ,4.5,#40 of 174 Hotels in Cusco,40,212,117,25,20,12,2018/09/01,2018/09/02,$114,Booking.com,9,"Free Wifi,Breakfast included"
Hotel Torre Dorada,http://www.tripadvisor.com/Hotel_Review-g294314-d594841-Reviews-Hotel_Torre_Dorada-Cusco_Cusco_Region.html,cusco,1558 ,5,#5 of 174 Hotels in Cusco,5,1169,107,23,7,4,2018/09/01,2018/09/02,$68,Booking.com,9,"Free Wifi,Breakfast included,Hotel website"
Hilton Garden Inn Cusco,http://www.tripadvisor.com/Hotel_Review-g294314-d9563580-Reviews-Hilton_Garden_Inn_Cusco-Cusco_Cusco_Region.html,cusco,853 ,4.5,#24 of 174 Hotels in Cusco,24,303,108,28,5,9,2018/09/01,2018/09/02,$99,Expedia.com,12,"Free Wifi,Breakfast included,Hotel website"
Atiq Hotel Boutique,http://www.tripadvisor.com/Hotel_Review-g294314-d6908527-Reviews-Atiq_Hotel_Boutique-Cusco_Cusco_Region.html,cusco,98 ,4.5,#56 of 174 Hotels in Cusco,56,36,6,3,0,0,2018/09/01,2018/09/02,$125,Booking.com,12,"Free Wifi,Breakfast included"
Sonesta Hotel Cusco,http://www.tripadvisor.com/Hotel_Review-g294314-d301067-Reviews-Sonesta_Hotel_Cusco-Cusco_Cusco_Region.html,cusco,3714 ,4.5,#14 of 174 Hotels in Cusco,14,648,248,65,13,14,2018/09/01,2018/09/02,$90,Booking.com,10,"Free Wifi,Breakfast included"
Hotel Rumi Punku,http://www.tripadvisor.com/Hotel_Review-g294314-d318593-Reviews-Hotel_Rumi_Punku-Cusco_Cusco_Region.html,cusco,1620 ,4.5,#12 of 174 Hotels in Cusco,12,940,342,64,20,3,2018/09/01,2018/09/02,$110,Booking.com,8,"Free Wifi,Breakfast included,Hotel website"
Tierra Viva Cusco San Blas,http://www.tripadvisor.com/Hotel_Review-g294314-d6536324-Reviews-Tierra_Viva_Cusco_San_Blas-Cusco_Cusco_Region.html,cusco,504 ,4.5,#16 of 174 Hotels in Cusco,16,207,66,5,2,0,2018/09/01,2018/09/02,$81,Booking.com,9,"Free Wifi,Breakfast included,Hotel website"
Hotel Taypikala Cusco,http://www.tripadvisor.com/Hotel_Review-g294314-d647504-Reviews-Hotel_Taypikala_Cusco-Cusco_Cusco_Region.html,cusco,942 ,4.5,#34 of 174 Hotels in Cusco,34,140,110,48,14,5,2018/09/01,2018/09/02,$78,Booking.com,11,"Free Wifi,Breakfast included"
Mama Simona Hostel,http://www.tripadvisor.com/Hotel_Review-g294314-d2078286-Reviews-Mama_Simona_Hostel-Cusco_Cusco_Region.html,cusco,680 ,4.5,#18 of 574 Specialty Lodging in Cusco,18,139,92,36,9,1,2018/09/01,2018/09/02,$24,Expedia.com,8,"Breakfast included,Free Internet"
Encantada Casa Boutique Spa,http://www.tripadvisor.com/Hotel_Review-g294314-d1547560-Reviews-Encantada_Casa_Boutique_Spa-Cusco_Cusco_Region.html,cusco,565 ,4.5,#19 of 174 Hotels in Cusco,19,284,88,11,4,1,2018/09/01,2018/09/02,$108,Booking.com,8,"Free Wifi,Breakfast included"
