hotel_name,url,locality,reviews,tripadvisor_rating,rank,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
Aranwa Cusco Boutique Hotel,http://www.tripadvisor.com/Hotel_Review-g294314-d1903518-Reviews-Aranwa_Cusco_Boutique_Hotel-Cusco_Cusco_Region.html,cusco,1138 ,4.5,#6 of 174 Hotels in Cusco,2018/09/01,2018/09/03,$187,TripAdvisor,13,"Free Wifi,Breakfast included"
"Palacio del Inka, A Luxury Collection Hotel, Cusco",http://www.tripadvisor.com/Hotel_Review-g294314-d304538-Reviews-Palacio_del_Inka_A_Luxury_Collection_Hotel_Cusco-Cusco_Cusco_Region.html,cusco,2526 ,5,#10 of 174 Hotels in Cusco,2018/09/01,2018/09/03,,TripAdvisor,12,"Restaurant,Room Service,Hotel website"
Hilton Garden Inn Cusco,http://www.tripadvisor.com/Hotel_Review-g294314-d9563580-Reviews-Hilton_Garden_Inn_Cusco-Cusco_Cusco_Region.html,cusco,853 ,4.5,#24 of 174 Hotels in Cusco,2018/09/01,2018/09/03,,TripAdvisor,11,"Free Wifi,Breakfast included,Hotel website"
Novotel Cusco,http://www.tripadvisor.com/Hotel_Review-g294314-d299420-Reviews-Novotel_Cusco-Cusco_Cusco_Region.html,cusco,1612 ,4.5,#36 of 174 Hotels in Cusco,2018/09/01,2018/09/03,,TripAdvisor,10,"Free Wifi,Breakfast included"
Belmond Palacio Nazarenas,http://www.tripadvisor.com/Hotel_Review-g294314-d2568957-Reviews-Belmond_Palacio_Nazarenas-Cusco_Cusco_Region.html,cusco,780 ,5,#1 of 174 Hotels in Cusco,2018/09/01,2018/09/03,,TripAdvisor,10,"Free Wifi,Breakfast included,Hotel website"
Belmond Hotel Monasterio,http://www.tripadvisor.com/Hotel_Review-g294314-d307666-Reviews-Belmond_Hotel_Monasterio-Cusco_Cusco_Region.html,cusco,2560 ,5,#2 of 174 Hotels in Cusco,2018/09/01,2018/09/03,,TripAdvisor,10,"Free Wifi,Breakfast included,Hotel website"
Casa Cartagena Boutique Hotel & Spa,http://www.tripadvisor.com/Hotel_Review-g294314-d1212009-Reviews-Casa_Cartagena_Boutique_Hotel_Spa-Cusco_Cusco_Region.html,cusco,702 ,5,#4 of 174 Hotels in Cusco,2018/09/01,2018/09/03,,TripAdvisor,8,"Free Wifi,Breakfast included"
Hotel Torre Dorada,http://www.tripadvisor.com/Hotel_Review-g294314-d594841-Reviews-Hotel_Torre_Dorada-Cusco_Cusco_Region.html,cusco,1558 ,5,#5 of 174 Hotels in Cusco,2018/09/01,2018/09/03,,TripAdvisor,10,"Free Wifi,Breakfast included,Hotel website"
Antigua Casona San Blas,http://www.tripadvisor.com/Hotel_Review-g294314-d10266025-Reviews-Antigua_Casona_San_Blas-Cusco_Cusco_Region.html,cusco,553 ,5,#7 of 174 Hotels in Cusco,2018/09/01,2018/09/03,,TripAdvisor,9,"Free Wifi,Breakfast included,Hotel website"
JW Marriott El Convento Cusco,http://www.tripadvisor.com/Hotel_Review-g294314-d2418099-Reviews-JW_Marriott_El_Convento_Cusco-Cusco_Cusco_Region.html,cusco,3108 ,5,#9 of 174 Hotels in Cusco,2018/09/01,2018/09/03,,TripAdvisor,11,"Breakfast included,Pool,Hotel website"
Casa San Blas Boutique,http://www.tripadvisor.com/Hotel_Review-g294314-d572501-Reviews-Casa_San_Blas_Boutique-Cusco_Cusco_Region.html,cusco,1006 ,4.5,#11 of 174 Hotels in Cusco,2018/09/01,2018/09/03,,TripAdvisor,8,"Free Wifi,Breakfast included"
Hotel Rumi Punku,http://www.tripadvisor.com/Hotel_Review-g294314-d318593-Reviews-Hotel_Rumi_Punku-Cusco_Cusco_Region.html,cusco,1620 ,4.5,#12 of 174 Hotels in Cusco,2018/09/01,2018/09/03,,TripAdvisor,8,"Free Wifi,Breakfast included,Hotel website"
Sonesta Hotel Cusco,http://www.tripadvisor.com/Hotel_Review-g294314-d301067-Reviews-Sonesta_Hotel_Cusco-Cusco_Cusco_Region.html,cusco,3714 ,4.5,#14 of 174 Hotels in Cusco,2018/09/01,2018/09/03,,TripAdvisor,10,"Free Wifi,Breakfast included"
Tierra Viva Cusco San Blas,http://www.tripadvisor.com/Hotel_Review-g294314-d6536324-Reviews-Tierra_Viva_Cusco_San_Blas-Cusco_Cusco_Region.html,cusco,504 ,4.5,#16 of 174 Hotels in Cusco,2018/09/01,2018/09/03,,TripAdvisor,9,"Free Wifi,Breakfast included,Hotel website"
Encantada Casa Boutique Spa,http://www.tripadvisor.com/Hotel_Review-g294314-d1547560-Reviews-Encantada_Casa_Boutique_Spa-Cusco_Cusco_Region.html,cusco,565 ,4.5,#19 of 174 Hotels in Cusco,2018/09/01,2018/09/03,,TripAdvisor,9,"Free Wifi,Breakfast included"
Tambo del Arriero Hotel Boutique,http://www.tripadvisor.com/Hotel_Review-g294314-d1893943-Reviews-Tambo_del_Arriero_Hotel_Boutique-Cusco_Cusco_Region.html,cusco,430 ,4.5,#22 of 174 Hotels in Cusco,2018/09/01,2018/09/03,,TripAdvisor,9,"Free Wifi,Breakfast included,Hotel website"
LP Los Portales Hotel Cusco,http://www.tripadvisor.com/Hotel_Review-g294314-d2079965-Reviews-LP_Los_Portales_Hotel_Cusco-Cusco_Cusco_Region.html,cusco,781 ,4.5,#26 of 174 Hotels in Cusco,2018/09/01,2018/09/03,,TripAdvisor,9,"Free Wifi,Breakfast included"
