hotel_name,url,locality,reviews,tripadvisor_rating,rank,rank_num,5_excellent,4_excellent,3_very_good,2_poor,1_terrible,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
Mantantial La Maquina Palpa,http://www.tripadvisor.com/Hotel_Review-g304040-d1008421-Reviews-Mantantial_La_Maquina_Palpa-Ica_Ica_Region.html,ica,12 ,4.5,#20 of 31 Hotels in Ica,20,3,0,0,1,0,2018/09/01,2018/09/02,,,0,
Wakama Eco Resort,http://www.tripadvisor.com/Hotel_Review-g304040-d1983530-Reviews-Wakama_Eco_Resort-Ica_Ica_Region.html,ica,23 ,3.5,#21 of 31 Hotels in Ica,21,0,0,1,0,0,2018/09/01,2018/09/02,,,0,
La Choza Hotel,http://www.tripadvisor.com/Hotel_Review-g304040-d2073161-Reviews-La_Choza_Hotel-Ica_Ica_Region.html,ica,1 review,3,#25 of 31 Hotels in Ica,25,0,0,1,0,0,2018/09/01,2018/09/02,,,0,"Free Wifi,Free Parking"
El Parral Hotel,http://www.tripadvisor.com/Hotel_Review-g304040-d779207-Reviews-El_Parral_Hotel-Ica_Ica_Region.html,ica,2 ,2.5,#26 of 31 Hotels in Ica,26,0,0,0,0,1,2018/09/01,2018/09/02,,,0,
Ocucaje Sun & Wine Resort,http://www.tripadvisor.com/Hotel_Review-g304040-d318692-Reviews-Ocucaje_Sun_Wine_Resort-Ica_Ica_Region.html,ica,2 ,2.5,#27 of 31 Hotels in Ica,27,0,0,0,1,0,2018/09/01,2018/09/02,,,0,Restaurant
Hostal Valderrama,http://www.tripadvisor.com/Hotel_Review-g304040-d2322853-Reviews-Hostal_Valderrama-Ica_Ica_Region.html,ica,0 ,,,27,0,0,0,1,0,2018/09/01,2018/09/02,,,0,"Free Wifi,Free Parking"
Hotel Las Dunas,http://www.tripadvisor.com/Hotel_Review-g304040-d318687-Reviews-Hotel_Las_Dunas-Ica_Ica_Region.html,ica,1577 ,4.5,#1 of 31 Hotels in Ica,1,71,73,31,11,7,2018/09/01,2018/09/02,,,8,"Free Wifi,Free Parking"
Hotel Vinas Queirolo,http://www.tripadvisor.com/Hotel_Review-g304040-d2525632-Reviews-Hotel_Vinas_Queirolo-Ica_Ica_Region.html,ica,423 ,4.5,#2 of 31 Hotels in Ica,2,65,12,3,1,1,2018/09/01,2018/09/02,,,9,"Free Wifi,Free Parking"
Hotel Villa Jazmin,http://www.tripadvisor.com/Hotel_Review-g304040-d1065866-Reviews-Hotel_Villa_Jazmin-Ica_Ica_Region.html,ica,547 ,4.5,#4 of 31 Hotels in Ica,4,142,60,7,1,3,2018/09/01,2018/09/02,,,9,"Free Wifi,Free Parking"
Hotel Las Flores,http://www.tripadvisor.com/Hotel_Review-g304040-d3373319-Reviews-Hotel_Las_Flores-Ica_Ica_Region.html,ica,261 ,4.5,#3 of 31 Hotels in Ica,3,18,15,1,2,0,2018/09/01,2018/09/02,,,8,"Free Wifi,Free Parking"
Hotel Boutique La Angostura - Ica,http://www.tripadvisor.com/Hotel_Review-g304040-d3485679-Reviews-Hotel_Boutique_La_Angostura_Ica-Ica_Ica_Region.html,ica,176 ,4,#5 of 31 Hotels in Ica,5,9,10,5,1,3,2018/09/01,2018/09/02,,,9,"Free Wifi,Free Parking"
Hotel Casa Sur,http://www.tripadvisor.com/Hotel_Review-g304040-d1596836-Reviews-Hotel_Casa_Sur-Ica_Ica_Region.html,ica,68 ,4.5,#8 of 31 Hotels in Ica,8,3,2,2,0,0,2018/09/01,2018/09/02,,,7,"Free Wifi,Free Parking"
Hotel Ollanta,http://www.tripadvisor.com/Hotel_Review-g304040-d495953-Reviews-Hotel_Ollanta-Ica_Ica_Region.html,ica,145 ,4,#10 of 31 Hotels in Ica,10,24,19,13,7,1,2018/09/01,2018/09/02,,,7,"Free Wifi,Free Parking"
El Carmelo Hotel and Hacienda,http://www.tripadvisor.com/Hotel_Review-g304040-d944892-Reviews-El_Carmelo_Hotel_and_Hacienda-Ica_Ica_Region.html,ica,138 ,4,#6 of 31 Hotels in Ica,6,13,17,5,2,3,2018/09/01,2018/09/02,,,10,"Free Wifi,Free Parking"
Hotel Belle Sand,http://www.tripadvisor.com/Hotel_Review-g304040-d318666-Reviews-Hotel_Belle_Sand-Ica_Ica_Region.html,ica,87 ,4,#9 of 31 Hotels in Ica,9,4,8,2,1,1,2018/09/01,2018/09/02,,,8,"Free Wifi,Pool"
Hotel Torontel,http://www.tripadvisor.com/Hotel_Review-g304040-d5992426-Reviews-Hotel_Torontel-Ica_Ica_Region.html,ica,27 ,4,#11 of 31 Hotels in Ica,11,1,0,1,0,0,2018/09/01,2018/09/02,,,9,"Free Wifi,Free Parking"
Dream House,http://www.tripadvisor.com/Hotel_Review-g304040-d11960259-Reviews-Dream_House-Ica_Ica_Region.html,ica,27 ,5,#7 of 31 Hotels in Ica,7,5,1,0,0,0,2018/09/01,2018/09/02,,,7,"Free Wifi,Free Parking"
Mc Hotel Ica,http://www.tripadvisor.com/Hotel_Review-g304040-d3200536-Reviews-Mc_Hotel_Ica-Ica_Ica_Region.html,ica,73 ,4,#12 of 31 Hotels in Ica,12,6,5,1,0,1,2018/09/01,2018/09/02,,,6,"Free Wifi,Free Parking"
Balistra,http://www.tripadvisor.com/Hotel_Review-g304040-d10591772-Reviews-Balistra-Ica_Ica_Region.html,ica,32 ,4.5,#13 of 31 Hotels in Ica,13,2,1,0,0,0,2018/09/01,2018/09/02,,,7,"Free Parking,Breakfast included"
Hacienda San Juan Resort,http://www.tripadvisor.com/Hotel_Review-g304040-d10441258-Reviews-Hacienda_San_Juan_Resort-Ica_Ica_Region.html,ica,27 ,4,#14 of 31 Hotels in Ica,14,1,5,1,0,0,2018/09/01,2018/09/02,,,8,"Free Wifi,Free Parking"
